mes_dia,media_notificacoes_dia,notificacoes_dia,regiao,r2,mae,mape,msd,mse,rmse,ano_inicio,ano_fim,ano,chave,limiar_pre_epidemico,intensidade_alta,intensidade_muito_alta
2-3,12,34,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-4,13,41,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-5,13,30,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-6,13,35,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-7,14,35,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-8,14,49,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-9,13,44,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-10,13,59,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-11,13,60,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-12,13,48,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-13,14,62,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-14,14,59,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-15,13,53,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-16,14,62,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-17,14,49,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-18,16,60,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-19,17,58,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-20,18,47,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-21,18,64,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-22,17,43,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-23,17,78,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-24,19,63,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-25,18,73,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-26,18,80,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-27,17,59,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-28,19,74,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-1,24,47,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-2,25,49,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-3,26,65,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-4,27,65,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-5,29,91,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-6,29,72,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-7,28,103,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-8,25,85,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-9,26,97,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-10,28,93,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-11,28,77,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-12,26,99,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-13,27,112,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-14,28,94,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-15,28,144,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-16,29,140,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-17,28,156,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-18,29,148,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-19,31,177,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-20,35,167,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-21,37,184,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-22,38,183,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-23,39,194,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-24,42,161,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-25,45,196,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-26,46,184,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-27,46,175,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-28,45,198,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-29,47,158,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-30,49,180,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
3-31,50,177,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-1,55,163,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-2,56,166,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-3,58,169,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-4,61,172,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-5,62,179,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-6,64,155,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-7,64,183,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-8,61,200,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-9,62,212,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-10,62,202,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-11,61,223,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-12,60,228,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-13,60,233,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-14,62,262,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-15,59,222,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-16,59,224,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-17,62,232,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
4-18,64,208,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
