"mes_dia","media_notificacoes_dia","data","real","predito","regiao","r2","mae","mape","msd","mse","rmse","ano_inicio","ano_fim","chave"
"2-7",14,"2020-02-11",19,35,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-8",14,"2020-02-12",20,49,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-9",13,"2020-02-13",20,44,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-10",13,"2020-02-14",23,59,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-11",13,"2020-02-15",24,60,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-12",13,"2020-02-16",25,48,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-13",14,"2020-02-17",27,62,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-14",14,"2020-02-18",29,59,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-15",13,"2020-02-19",30,53,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-16",14,"2020-02-20",32,62,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-17",14,"2020-02-21",32,49,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-18",16,"2020-02-22",33,60,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-19",17,"2020-02-23",34,58,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-20",18,"2020-02-24",33,47,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-21",18,"2020-02-25",36,64,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-22",17,"2020-02-26",37,43,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-23",17,"2020-02-27",38,78,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-24",19,"2020-02-28",41,63,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-25",18,"2020-02-29",43,73,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-26",18,"2020-03-01",49,80,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-27",17,"2020-03-02",53,59,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-28",19,"2020-03-03",54,74,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
